"codigo_dane","mat","soc","fil","bio","qui","fis","ing","len","total.evaluados","nombre_col","lon","lat","tipo"
"111001075957",41,41,38,41,41,40,42,45,265,"INSTITUCION EDUCATIVA DISTRITAL JOSE ANTONIO RICAURTE - SAN CARLOS",-74.1279829789999,4.56983522584999,"oficial"
"111001076201",44,45,40,45,45,44,43,48,191,"INSTITUCION EDUCATIVA DISTRITAL MONTEBLANCO",-74.1166724219999,4.50117078385223,"oficial"
"111001076376",44,45,40,44,43,44,43,48,429,"CENTRO EDUCATIVO DISTRITAL MARRUECOS Y MOLINOS",-74.1173272609999,4.55525408485046,"oficial"
"111001076767",47,46,42,47,49,47,45,50,303,"CENTRO EDUCATIVO DISTRITAL DE EDUCACION BASICA Y MEDIA NUEVA CASTILLA",-74.1422775589999,4.64048810784768,"oficial"
"111001076937",44,43,38,45,43,44,43,47,169,"COLEGIO DISTRITAL SAN FRANCISCO",-74.1496742459999,4.56249560685024,"oficial"
"111001077321",41,44,39,43,43,44,43,46,51,"INSTITUCION EDUCATIVA  DISTRITAL  EDUARDO CARRANZA",-74.0722208759999,4.67270013884666,"oficial"
"111001077895",43,44,40,46,45,47,42,48,111,"COLEGIO OFELIA URIBE DE ACOSTA INSTITUCION EDUCATIVA DISTRITAL",-74.1022968139999,4.5043879748521,"oficial"
"111001077917",44,44,39,44,45,47,42,45,75,"CENTRO EDUCATIVO DISTRITAL BRASILIA",-74.1164103859999,4.51753225485168,"oficial"
"111001078638",46,47,43,47,46,44,43,50,58,"INSTITUCION EDUCATIVA DISTRITAL EL VIRREY JOSE SOLIS",-74.111988617,4.50286995685219,"oficial"
"111001079154",46,45,38.5,46,45,44,45.5,50,90,"INSTITUCION EDUCATIVA DISTRITAL VILLA RICA",-74.1671413809999,4.60571322584885,"oficial"
"111001083011",44,44,40,44,43,44,43,48,298,"INSTITUCION EDUCATIVA DISTRITAL MIGUEL DE CERVANTES SAAVEDRA",-74.1172212939999,4.51254249585183,"oficial"
"111001086606",43,44,40.5,45,43,46.5,43,47,78,"INSTITUCION EDUCATIVA DISTRITAL LLANO ORIENTAL",-74.2000310259999,4.60345195884887,"oficial"
"111001086614",44,44,38,44,45,44,43,48,117,"COLEGIO CHUNIZA INSTITUCION EDUCATIVA DISTRITAL",-74.1111057649999,4.50547328085212,"oficial"
"111001086631",41,44.5,40,45.5,45,46,42.5,48.5,52,"CENTRO EDUCATIVO DISTRITAL DIANA TURBAY",-74.1346129449999,4.56640946685012,"oficial"
"111001086649",50,49,44,49,49,53,47,50,129,"INSTITUCION EDUCATIVA DISTRITAL ALFONSO LOPEZ PUMAREJO",-74.1440257069999,4.60784661384873,"oficial"
"111001086665",43,43,39,44,43,44,42,47,169,"INSTITUCION EDUCATIVA DISTRITAL RAMON DE ZUBIRIA - LA PALMA",-74.0868917879999,4.72765246284487,"oficial"
"111001086681",41,41,36,41,41,44,42,45,109,"CENTRO EDUCATIVO DISTRITAL NUEVO HORIZONTE",-74.0246436039999,4.76676629384361,"oficial"
"111001086720",46,45,40,45.5,46.5,48.5,44,48,72,"CENTRO EDUCATIVO DISTRITAL INSTITUTO TECNICO JAIME PARDO LEAL",-74.0880220419999,4.58660091784943,"oficial"
"111001086771",44,46,40,45,43,44,42,47,185,"INSTITUTO TECNICO RODRIGO DE TRIANA INSTITUCION EDUCATIVA DISTRITAL",-74.1676105029999,4.6398281688477,"oficial"
"111001086789",46,45,40,47,45,50,46,49,105,"COLEGIO DISTRITAL RAFAEL NUÑEZ",-74.0951125169999,4.57390106984988,"oficial"
"111001086801",42,43,40,44,43,44,43,45.5,160,"CENTRO DE EDUCACION DIVERSIFICADO DISTRITAL CEDID CIUDAD BOLIVAR",-74.1658977139999,4.57694059784977,"oficial"
"111001086835",43,41,38,43,43,41,42,45,281,"CENTRO EDUCATIVO DISTRITAL SIERRA MORENA",-74.1694377539999,4.57094735184997,"oficial"
"111001092410",41.5,43,38.5,44,43,42,42,46,294,"INSTITUCION EDUCATIVA DISTRITAL LA ESTANCIA - SAN ISIDRO LABRADOR",-74.1759782529999,4.59294926384926,"oficial"
"111001093084",43,46,40,45,45,44,43,48,180,"COLEGIO ALVARO GOMEZ HURTADO INSTITUCION EDUCATIVA DISTRITAL",-74.0965862899999,4.73065441784478,"oficial"
"111001094439",41,44,39,45,43,47,40,48,69,"COLEGIO FERNANDO GONZALEZ OCHOA IED",-74.1076201629999,4.5026256288522,"oficial"
"111001094889",44,46,40,46,47,47,43,48,75,"TOSCANA LISBOA IED",-74.1215344809999,4.74332930384432,"oficial"
"111001094897",46,47,41,47,47,46,45,50,109,"INSTITUCION EDUCATIVA DISTRITAL COLEGIO TECNICO PALERMO",-74.0742608429999,4.63804310984778,"oficial"
"111001094901",43.5,44,40,44,45,44,43,45,32,"CENTRO EDUCATIVO DISTRITAL MANUEL ELKIN PATARROYO",-74.0644797509999,4.61798339084841,"oficial"
"111001096555",44,46,40,42,43,43,42,46,135,"COLEGIO CIUDAD BOLIVAR ARGENTINA IED",-74.1624205519999,4.57331581884989,"oficial"
"111001098612",44,44,40,45,43,47,43,47,111,"INSTITUCION EDUCATIVA DON BOSCO III",-74.0252657219999,4.76463310884363,"concesión"
"111001098817",43,45,41,46,48,47,42,48,127,"CENTRO EDUCATIVO DISTRITAL COMFENALCO NUEVA ROMA",-74.0959528689999,4.54111494285094,"concesión"
"111001098825",46,49,44,47,48,46,46,50,67,"COLEGIO COLSUBSIDIO SAN VICENTE INSTITUCION EDUCATIVA DISTRITAL",-74.0880338869999,4.55530625385047,"concesión"
